,ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
0,63581743,0,16-Mar-39,60,0,11,"$67,349",No,$0,z_No,M,PhD,Professional,14,Private,"$14,230",11,Minivan,yes,"$4,461",2,No,3,$0,18,0,Highly Urban/ Urban
1,132761049,0,21-Jan-56,43,0,11,"$91,449",No,"$257,252",z_No,M,z_High School,z_Blue Collar,22,Commercial,"$14,940",1,Minivan,yes,$0,0,No,0,$0,1,0,Highly Urban/ Urban
2,921317019,0,18-Nov-51,48,0,11,"$52,881",No,$0,z_No,M,Bachelors,Manager,26,Private,"$21,970",1,Van,yes,$0,0,No,2,$0,10,0,Highly Urban/ Urban
3,727598473,0,05-Mar-64,35,1,10,"$16,039",No,"$124,191",Yes,z_F,z_High School,Clerical,5,Private,"$4,010",4,z_SUV,no,"$38,690",2,No,3,$0,10,0,Highly Urban/ Urban
4,450221861,0,05-Jun-48,51,0,14,,No,"$306,251",Yes,M,<High School,z_Blue Collar,32,Private,"$15,440",7,Minivan,yes,$0,0,No,0,$0,6,0,Highly Urban/ Urban
5,743146596,0,17-May-49,50,0,,"$114,986",No,"$243,925",Yes,z_F,PhD,Doctor,36,Private,"$18,000",1,z_SUV,no,"$19,217",2,Yes,3,$0,17,0,Highly Urban/ Urban
6,871024631,0,05-May-65,34,1,12,"$125,301",Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,"$17,430",1,Sports Car,no,$0,0,No,0,"$2,946",7,1,Highly Urban/ Urban
7,792300541,0,28-Feb-45,54,0,,"$18,755",No,,Yes,z_F,<High School,z_Blue Collar,33,Private,"$8,780",1,z_SUV,no,$0,0,No,0,$0,1,0,Highly Urban/ Urban
8,7945239,1,17-Sep-59,40,1,11,"$50,815",Yes,$0,z_No,M,z_High School,Manager,21,Private,"$18,930",6,Minivan,no,"$3,295",1,No,2,"$6,477",1,1,Highly Urban/ Urban
9,3577610,0,21-Aug-55,44,2,12,"$43,486",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,30,Commercial,"$5,900",10,z_SUV,no,$0,0,No,0,$0,10,0,z_Highly Rural/ Rural
10,892208080,1,14-Dec-61,37,2,,"$107,961",No,"$333,680",Yes,M,Bachelors,z_Blue Collar,44,Commercial,"$16,970",1,Van,yes,"$2,374",1,Yes,10,"$4,021",7,1,Highly Urban/ Urban
11,77382913,0,22-Nov-64,34,0,10,"$62,978",No,$0,z_No,z_F,Bachelors,Clerical,34,Private,"$11,200",1,z_SUV,no,$0,0,No,0,"$2,501",1,1,Highly Urban/ Urban
12,856886560,0,22-Oct-49,50,0,7,"$106,952",No,$0,z_No,M,Bachelors,Professional,48,Commercial,"$18,510",7,Van,no,$0,0,No,1,$0,17,0,z_Highly Rural/ Rural
13,308455362,0,25-Dec-45,53,0,14,"$77,100",No,$0,z_No,z_F,Masters,Lawyer,15,Private,"$18,300",1,Sports Car,no,$0,0,No,0,"$6,077",11,1,Highly Urban/ Urban
14,989828809,0,19-Jun-56,43,0,5,"$52,642",No,"$209,970",Yes,z_F,Masters,Professional,36,Private,"$22,420",7,Minivan,no,$0,0,No,0,$0,1,0,z_Highly Rural/ Rural
15,376482434,0,03-Mar-44,55,0,11,"$59,162",No,"$180,232",Yes,M,Bachelors,Manager,25,Commercial,"$17,600",7,Van,yes,"$5,028",2,Yes,3,$0,9,0,Highly Urban/ Urban
16,665591504,0,19-Jul-46,53,0,11,"$130,795",No,$0,z_No,M,PhD,,64,Commercial,"$28,340",6,Panel Truck,yes,$0,0,No,3,"$1,267",10,1,Highly Urban/ Urban
17,713692930,0,17-Aug-64,35,2,,"$21,204",Yes,$0,z_No,M,z_High School,Clerical,74,Private,"$9,230",6,Pickup,no,$0,0,Yes,0,$0,4,0,z_Highly Rural/ Rural
18,588888550,0,17-Jan-54,45,0,0,$0,No,"$106,859",Yes,z_F,<High School,Home Maker,48,Private,"$6,000",1,z_SUV,no,$0,0,No,3,"$2,920",5,1,Highly Urban/ Urban
19,140015922,0,06-Aug-60,39,3,12,"$51,884",Yes,"$180,951",z_No,z_F,Bachelors,Clerical,43,Private,"$10,590",6,z_SUV,no,$0,0,No,0,$0,13,0,z_Highly Rural/ Rural
20,162166370,0,19-Apr-40,59,0,12,"$87,460",No,$0,z_No,M,z_High School,Manager,45,Private,"$15,420",1,Minivan,yes,"$44,857",2,No,4,"$4,111",1,1,Highly Urban/ Urban
21,884513944,0,20-Dec-56,42,0,11,"$59,945",No,"$192,207",Yes,M,Masters,Lawyer,42,Private,"$14,190",6,Minivan,no,$0,0,No,0,$0,16,0,Highly Urban/ Urban
22,627708979,0,14-Sep-65,34,3,13,"$34,019",No,"$91,875",Yes,z_F,Masters,Lawyer,27,Private,"$8,300",7,z_SUV,no,$0,0,No,0,$0,20,0,Highly Urban/ Urban
23,116375554,0,06-Oct-68,31,2,12,"$18,903",No,"$93,797",Yes,z_F,<High School,Clerical,48,Private,"$17,330",4,Minivan,no,$0,0,No,0,$0,7,0,Highly Urban/ Urban
24,235358484,0,22-Feb-71,28,1,13,"$44,077",No,"$170,598",Yes,z_F,z_High School,z_Blue Collar,29,Commercial,"$8,710",6,z_SUV,no,"$8,935",2,No,0,"$6,857",1,1,Highly Urban/ Urban
25,528040687,0,07-Feb-56,43,0,13,"$37,214",No,,Yes,M,<High School,z_Blue Collar,52,Commercial,"$26,560",1,Panel Truck,yes,$0,0,No,3,"$3,627",1,1,Highly Urban/ Urban
26,652572577,0,16-Dec-50,48,0,14,"$96,274",No,"$282,904",Yes,z_F,Masters,Lawyer,36,Private,"$11,130",6,z_SUV,no,"$8,250",1,No,5,$0,14,0,Highly Urban/ Urban
27,410873772,0,24-Jul-52,47,0,11,"$46,281",No,$0,z_No,z_F,<High School,z_Blue Collar,29,Private,"$19,700",10,Minivan,no,$0,0,No,1,$0,5,0,Highly Urban/ Urban
28,254362485,2,06-Jul-55,44,2,0,$0,No,"$82,344",Yes,z_F,z_High School,Home Maker,8,Private,"$5,900",6,z_SUV,no,"$3,338",3,No,0,$0,11,0,Highly Urban/ Urban
29,69165559,0,14-Apr-53,46,0,14,,No,"$207,519",Yes,M,Bachelors,Professional,7,Commercial,"$25,660",1,Panel Truck,no,"$2,119",1,No,2,$0,12,0,Highly Urban/ Urban
30,201327208,0,14-Dec-38,60,0,12,"$37,940",No,"$182,739",Yes,z_F,z_High School,z_Blue Collar,16,Commercial,"$11,290",1,Sports Car,no,$0,0,No,0,"$5,247",1,1,Highly Urban/ Urban
31,573751437,0,14-Dec-65,33,1,13,"$79,606",No,"$225,962",Yes,z_F,Bachelors,Professional,27,Private,"$16,830",9,z_SUV,no,$0,0,No,2,$0,15,0,z_Highly Rural/ Rural
32,483050926,0,17-Apr-67,32,1,9,"$31,275",No,"$118,160",Yes,z_F,z_High School,Clerical,26,Private,"$10,030",1,z_SUV,no,$0,0,No,0,"$4,486",1,1,Highly Urban/ Urban
33,146989842,1,09-Apr-55,44,2,17,"$45,488",No,"$219,378",Yes,M,Bachelors,Manager,16,Private,"$22,090",17,Minivan,no,$0,0,No,0,$0,12,0,Highly Urban/ Urban
34,742435591,0,05-Apr-64,35,0,8,"$72,193",No,$0,z_No,z_F,Bachelors,Clerical,26,Private,"$12,220",6,z_SUV,no,$0,0,No,3,$0,12,0,Highly Urban/ Urban
35,915517588,0,06-May-59,40,2,0,,No,"$98,777",Yes,z_F,Masters,Home Maker,15,Private,"$14,130",6,z_SUV,no,"$38,127",2,Yes,4,$0,12,0,z_Highly Rural/ Rural
36,756785495,0,15-May-45,54,0,12,"$33,212",No,"$158,432",Yes,M,<High School,z_Blue Collar,27,Commercial,"$24,000",4,Panel Truck,no,$0,0,No,5,"$4,901",,1,Highly Urban/ Urban
37,66662029,0,14-Feb-50,49,0,5,"$49,244",No,"$163,444",Yes,M,Bachelors,Clerical,30,Private,"$15,880",1,Minivan,no,$0,0,No,1,$0,1,0,Highly Urban/ Urban
38,294816298,2,03-Aug-63,36,2,12,"$130,540",Yes,"$344,195",z_No,z_F,Bachelors,z_Blue Collar,5,Commercial,"$27,200",4,Minivan,no,$0,0,No,0,$0,9,0,z_Highly Rural/ Rural
39,686791659,0,07-May-47,52,0,8,"$51,278",No,"$230,340",Yes,z_F,Bachelors,Professional,37,Private,"$1,500",4,z_SUV,no,$0,0,No,1,$0,10,0,Highly Urban/ Urban
40,269341556,0,28-Sep-58,41,0,7,"$92,842",No,"$286,113",z_No,M,Masters,,12,Commercial,"$25,810",6,Panel Truck,no,"$1,431",2,No,5,$0,15,0,Highly Urban/ Urban
41,396972296,0,26-Jul-60,39,0,10,"$35,081",No,"$202,839",Yes,M,Bachelors,z_Blue Collar,38,Commercial,"$16,640",4,Van,yes,$0,0,No,0,$0,13,0,Highly Urban/ Urban
42,364483168,0,09-Apr-43,56,0,0,$0,No,"$63,827",Yes,z_F,PhD,Home Maker,65,Private,"$13,220",1,Minivan,no,$0,0,No,0,$0,12,0,z_Highly Rural/ Rural
43,866093378,0,07-Mar-50,49,0,12,"$115,044",No,"$311,980",z_No,z_F,PhD,Doctor,18,Private,"$17,900",1,Minivan,no,$0,0,No,0,$0,14,0,Highly Urban/ Urban
44,515421877,0,30-May-61,38,0,11,"$37,754",No,"$138,823",Yes,z_F,z_High School,Clerical,47,Private,"$12,080",1,z_SUV,no,$0,0,No,2,$0,9,0,z_Highly Rural/ Rural
45,173737852,0,01-Jun-56,43,2,17,"$145,353",No,"$418,785",Yes,z_F,Masters,,38,Commercial,"$29,450",6,Van,no,$0,0,No,0,$0,15,0,Highly Urban/ Urban
46,745183922,0,30-Jun-49,50,0,8,"$167,469",No,$0,z_No,z_F,PhD,Doctor,22,Private,"$34,150",4,Sports Car,no,$0,0,No,3,$0,1,0,Highly Urban/ Urban
47,298271736,0,04-Nov-36,63,0,15,"$121,398",No,"$343,410",Yes,z_F,PhD,Doctor,10,Private,"$16,270",1,z_SUV,no,$0,0,No,0,$0,11,0,Highly Urban/ Urban
48,70821537,0,12-Aug-47,52,0,0,$0,No,"$87,925",z_No,z_F,z_High School,Student,48,Commercial,"$9,280",1,z_SUV,no,$0,0,No,1,$0,6,0,z_Highly Rural/ Rural
49,258951025,0,24-Oct-64,35,0,7,"$14,508",No,$0,Yes,M,Bachelors,Student,22,Commercial,"$6,450",1,Pickup,no,$0,0,No,0,$0,7,0,Highly Urban/ Urban
50,807174588,0,16-Nov-56,43,0,13,"$75,338",No,"$270,555",Yes,z_F,Bachelors,Manager,40,Private,"$23,080",1,Sports Car,no,$0,0,No,0,$0,8,0,Highly Urban/ Urban
