kidsdriv,age,homekids,yoj,income,parent1,home_val,mstatus,gender,education,occupation,travtime,car_use,bluebook,tif,car_type,red_car,oldclaim,clm_freq,revoked,mvr_pts,clm_amt,car_age,claim_flag,urbanicity
0,60.0,0,11.0,67349.0,No,0.0,No,M,PhD,Professional,14,Private,14230.0,11,Minivan,yes,4461.0,2,No,3,0.0,18.0,0,Highly Urban/ Urban
0,43.0,0,11.0,91449.0,No,257252.0,No,M,High School,Blue Collar,22,Commercial,14940.0,1,Minivan,yes,0.0,0,No,0,0.0,1.0,0,Highly Urban/ Urban
0,48.0,0,11.0,52881.0,No,0.0,No,M,Bachelors,Manager,26,Private,21970.0,1,Van,yes,0.0,0,No,2,0.0,10.0,0,Highly Urban/ Urban
0,35.0,1,10.0,16039.0,No,124191.0,Yes,F,High School,Clerical,5,Private,4010.0,4,SUV,no,38690.0,2,No,3,0.0,10.0,0,Highly Urban/ Urban
0,51.0,0,14.0,,No,306251.0,Yes,M,<High School,Blue Collar,32,Private,15440.0,7,Minivan,yes,0.0,0,No,0,0.0,6.0,0,Highly Urban/ Urban
0,50.0,0,,114986.0,No,243925.0,Yes,F,PhD,Doctor,36,Private,18000.0,1,SUV,no,19217.0,2,Yes,3,0.0,17.0,0,Highly Urban/ Urban
0,34.0,1,12.0,125301.0,Yes,0.0,No,F,Bachelors,Blue Collar,46,Commercial,17430.0,1,Sports Car,no,0.0,0,No,0,2946.0,7.0,1,Highly Urban/ Urban
0,54.0,0,,18755.0,No,,Yes,F,<High School,Blue Collar,33,Private,8780.0,1,SUV,no,0.0,0,No,0,0.0,1.0,0,Highly Urban/ Urban
1,40.0,1,11.0,50815.0,Yes,0.0,No,M,High School,Manager,21,Private,18930.0,6,Minivan,no,3295.0,1,No,2,6477.0,1.0,1,Highly Urban/ Urban
0,44.0,2,12.0,43486.0,Yes,0.0,No,F,High School,Blue Collar,30,Commercial,5900.0,10,SUV,no,0.0,0,No,0,0.0,10.0,0,Highly Rural/ Rural
1,37.0,2,,107961.0,No,333680.0,Yes,M,Bachelors,Blue Collar,44,Commercial,16970.0,1,Van,yes,2374.0,1,Yes,10,4021.0,7.0,1,Highly Urban/ Urban
0,34.0,0,10.0,62978.0,No,0.0,No,F,Bachelors,Clerical,34,Private,11200.0,1,SUV,no,0.0,0,No,0,2501.0,1.0,1,Highly Urban/ Urban
0,50.0,0,7.0,106952.0,No,0.0,No,M,Bachelors,Professional,48,Commercial,18510.0,7,Van,no,0.0,0,No,1,0.0,17.0,0,Highly Rural/ Rural
